chr;pos;B73;B97;CML103;CML228;CML247;CML277;CML322;CML333;CML52;CML69;HP301;Il14H;Ki11;KI3;Ky21;M162W;M37W;Ms71;NC350;Oh43;Oh7B;P39;Tx303;Tzi8
1;9273299;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;9300541;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;10068726;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;10069145;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;10934676;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;12208400;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;14578606;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;14578834;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;14898863;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;15725672;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;16530875;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;17595139;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;17601655;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;17680592;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;21457474;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;22281738;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;22601266;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;22601426;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;22918337;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;26283293;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;28526738;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;32627736;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;34388212;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;34476224;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;34479214;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;34724095;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;38607726;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;39288623;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;41231748;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;41390404;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;43832633;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;44506999;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;44532330;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;44535423;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;45675182;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;46064387;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;46065084;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;46255059;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;50197162;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;51407226;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;51514741;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;54049220;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;55173916;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;56175806;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;56846728;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;60212051;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;60230380;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;61206766;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;63913517;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;64261105;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;65825628;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;76054042;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;80803012;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;82563962;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;88380865;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;90772226;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;90772275;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;91279352;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;91429024;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;91429158;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;96545939;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;101421538;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;101421637;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;106026234;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;106204446;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;114236990;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
1;119018552;NC_024459.2;LR622798.1;LR617274.1;LR626764.1;LR615270.1;LR612606.1;LR624066.1;LR610904.1;LR698827.1;LR621998.1;LR619269.1;LR612888.1;LR620667.1;LR625231.1;LR608020.1;LR611700.1;LR627503.1;LR633933.1;LR609812.1;LR614201.1;LR615885.1;LR608433.1;LR631172.1;LR630127.1
